Ingredient,Time,Temp,Aspect,Type,Value,Rationale
BBQ Duck,Low,Low,Umami,Additive,2,Noticeable development
BBQ Duck,Low,Low,Tender,Additive,2,Softens more
BBQ Duck,Mid,Med,Umami,Additive,3,Strong Maillard
BBQ Duck,Mid,Med,Sweet,Additive,2,Caramelization
BBQ Duck,Mid,Med,Tender,Additive,3,Much more tender
BBQ Duck,Mid,Med,Chewy,Additive,-2,Breaks down
BBQ Duck,Long,Hot,Umami,Additive,4,Intense char
BBQ Duck,Long,Hot,Sweet,Additive,3,Deep caramelization
BBQ Duck,Long,Hot,Crispy,Additive,3,Skin crisps
BBQ Duck,Long,Hot,Tender,Additive,4,Very tender
BBQ Duck,Long,Hot,Chewy,Additive,-3,Breaks down
BBQ Duck,Long,Hot,Juicy,Additive,-4,Dries out
Pork Floss,Low,Low,Crispy,Additive,2,Light toasting
Pork Floss,Mid,Med,Umami,Additive,2,Toasting
Pork Floss,Mid,Med,Crispy,Additive,3,Much crisper
Pork Floss,Long,Hot,Crispy,Additive,3,Very crisp
Pork Floss,Long,Hot,Bitter,Additive,3,Burns easily
Pork Floss,Long,Hot,Umami,Additive,-2,Charred off-flavor
Pork Floss,Long,Hot,Sweet,Additive,-2,Burns off
Shrimp,Low,Low,Umami,Additive,2,Light cooking
Shrimp,Low,Low,Tender,Additive,2,Softens
Shrimp,Mid,Med,Umami,Additive,3,Seafood umami
Shrimp,Mid,Med,Sweet,Additive,2,Natural sweetness
Shrimp,Mid,Med,Tender,Additive,3,Cooked through
Shrimp,Mid,Med,Chewy,Additive,-2,Less chewy
Shrimp,Long,Hot,Umami,Additive,4,Concentrated
Shrimp,Long,Hot,Tender,Additive,3,Very tender
Shrimp,Long,Hot,Chewy,Additive,-3,Overcooked soft
Shrimp,Long,Hot,Juicy,Additive,-4,Dries out
Shrimp,Long,Hot,Sweet,Additive,-2,Overcooked loss
Squid,Low,Low,Umami,Additive,2,Light cooking
Squid,Low,Low,Tender,Additive,2,Slight softening
Squid,Mid,Med,Umami,Additive,3,Cooked umami
Squid,Mid,Med,Tender,Additive,3,Properly cooked
Squid,Mid,Med,Chewy,Additive,-2,Less rubbery
Squid,Long,Hot,Umami,Additive,-1,Rubberiness masks flavor
Squid,Long,Hot,Sweet,Additive,-2,Overcooked loss
Squid,Long,Hot,Tender,Additive,-4,Becomes rubbery
Squid,Long,Hot,Chewy,Additive,4,Very rubbery
Squid,Long,Hot,Juicy,Additive,-3,Dries out
Squid,Long,Hot,Bitter,Additive,2,Char
Century Egg,Low,Low,Rich,Additive,2,Slightly warmed
Century Egg,Mid,Med,Tender,Additive,2,Softens
Century Egg,Long,Hot,Umami,Additive,-1,Heat dulls
Century Egg,Long,Hot,Bitter,Additive,3,Heat intensifies
Century Egg,Long,Hot,Rich,Additive,-3,Dries out
Century Egg,Long,Hot,Tender,Additive,-2,Firms up
Kimchi,Low,Low,Umami,Additive,2,Light cooking
Kimchi,Low,Low,Sour,Additive,-1,Slight mellowing
Kimchi,Mid,Med,Sour,Additive,-3,Mellowing
Kimchi,Mid,Med,Umami,Additive,3,Cooked umami
Kimchi,Mid,Med,Crispy,Additive,-3,Wilts
Kimchi,Mid,Med,Juicy,Additive,-2,Moisture loss
Kimchi,Long,Hot,Sour,Additive,-5,Strong mellowing
Kimchi,Long,Hot,Salt,Additive,-2,Concentrates
Kimchi,Long,Hot,Umami,Additive,4,Concentrated
Kimchi,Long,Hot,Crispy,Additive,-4,Very soft
