Ingredient,Time,Temp,Aspect,Type,Value,Rationale
BBQ Duck,None,Low,Umami,Additive,1,Flash warmth
BBQ Duck,None,Med,Umami,Additive,1,Quick sear
BBQ Duck,None,Hot,Umami,Additive,2,Flash char
BBQ Duck,Low,Low,Umami,Additive,2,Noticeable development
BBQ Duck,Low,Low,Tender,Additive,2,Softens more
BBQ Duck,Low,Med,Umami,Additive,2,Brief cooking
BBQ Duck,Low,Med,Tender,Additive,2,Softens
BBQ Duck,Low,Hot,Umami,Additive,3,Quick high heat
BBQ Duck,Low,Hot,Crispy,Additive,2,Skin crisps
BBQ Duck,Mid,Low,Umami,Additive,2,Gentle warming
BBQ Duck,Mid,Low,Tender,Additive,2,Softens
BBQ Duck,Mid,Med,Umami,Additive,3,Strong Maillard
BBQ Duck,Mid,Med,Sweet,Additive,2,Caramelization
BBQ Duck,Mid,Med,Tender,Additive,3,Much more tender
BBQ Duck,Mid,Med,Chewy,Additive,-2,Breaks down
BBQ Duck,Mid,Hot,Umami,Additive,4,Intense cooking
BBQ Duck,Mid,Hot,Sweet,Additive,2,Caramelization
BBQ Duck,Mid,Hot,Tender,Additive,3,Tender
BBQ Duck,Mid,Hot,Chewy,Additive,-2,Breaks down
BBQ Duck,Long,Low,Umami,Additive,2,Slow warm
BBQ Duck,Long,Low,Tender,Additive,3,Very soft
BBQ Duck,Long,Med,Umami,Additive,3,Braised
BBQ Duck,Long,Med,Tender,Additive,4,Falling apart
BBQ Duck,Long,Med,Chewy,Additive,-3,Breaks down
BBQ Duck,Long,Med,Juicy,Additive,-2,Moisture loss
BBQ Duck,Long,Hot,Umami,Additive,4,Intense char
BBQ Duck,Long,Hot,Sweet,Additive,3,Deep caramelization
BBQ Duck,Long,Hot,Crispy,Additive,3,Skin crisps
BBQ Duck,Long,Hot,Tender,Additive,4,Very tender
BBQ Duck,Long,Hot,Chewy,Additive,-3,Breaks down
BBQ Duck,Long,Hot,Juicy,Additive,-4,Dries out
Pork Floss,None,Low,Crispy,Additive,1,Slight warmth
Pork Floss,None,Hot,Crispy,Additive,2,Flash toast
Pork Floss,Low,Low,Crispy,Additive,2,Light toasting
Pork Floss,Low,Med,Crispy,Additive,2,Toasting
Pork Floss,Low,Hot,Crispy,Additive,3,Quick crisp
Pork Floss,Mid,Low,Umami,Additive,1,Gentle toast
Pork Floss,Mid,Med,Umami,Additive,2,Toasting
Pork Floss,Mid,Med,Crispy,Additive,3,Much crisper
Pork Floss,Mid,Hot,Crispy,Additive,3,Very crisp
